image,bbox,conf,min_dist
000110707af0ba.jpg,[],[],1.0
000809ecb2ccad.jpg,[],[],1.0
009ce55e696403.jpg,[],[],1.0
0012ff300032e3.jpg,[],[],1.0
00abf21bfadf51.jpg,[],[],1.0
002d7a5f6d6765.jpg,[],[],1.0
00b13356985ff6.jpg,[],[],1.0
00b1b89d1b39d0.jpg,[],[],1.0
0032b07680c70c.jpg,[],[],1.0
00367a94430e04.jpg,[],[],1.0
004ceec96d93c2.jpg,[],[],1.0
0050a7a912c014.jpg,[],[],1.0
00e0dc3c51ae82.jpg,[],[],1.0
00661ed89a5a0d.jpg,[],[],1.0
00f1dbbda1e420.jpg,[],[],1.0
00f20f382733da.jpg,[],[],1.0
007ab28be42600.jpg,[],[],1.0
00f3dbdfe9cc30.jpg,[],[],1.0
0091c6a22c29da.jpg,[],[],1.0
009cc16f1e03d7.jpg,[],[],1.0
01030c4a106d1f.jpg,[],[],1.0
01151609bcbeff.jpg,[],[],1.0
011f37bc60382b.jpg,[],[],1.0
0122cd68619ae3.jpg,[],[],1.0
012dab7b269479.jpg,[],[],1.0
01330ff162acb7.jpg,[],[],1.0
0134cdac164e35.jpg,[],[],1.0
015a682f905e96.jpg,[],[],1.0
015f7db651b4cb.jpg,[],[],1.0
016139b8872371.jpg,[],[],1.0
016301b4e5c43c.jpg,[],[],1.0
016b40593dd292.jpg,[],[],1.0
0178203db4743f.jpg,[],[],1.0
017b880f3fe77e.jpg,[],[],1.0
01823ca06f8cc2.jpg,[],[],1.0
018854b4fcf3fc.jpg,[],[],1.0
01bff0d92eb8ea.jpg,[],[],1.0
01f2f4b1d77390.jpg,[],[],1.0
01ff068da80a2e.jpg,[],[],1.0
0209cd88647e73.jpg,[],[],1.0
021a1c47ffd4bc.jpg,[],[],1.0
021ce18a78e91a.jpg,[],[],1.0
02464aea628abd.jpg,[],[],1.0
02469ea1817dea.jpg,[],[],1.0
0249c449c07923.jpg,[],[],1.0
025907803a7c4e.jpg,[],[],1.0
025d309ff304c5.jpg,[],[],1.0
025ea8df8da8fa.jpg,[],[],1.0
026e8e41f977d3.jpg,[],[],1.0
028ac6e189de6d.jpg,[],[],1.0
02979c57beeeaf.jpg,[],[],1.0
029bac7439ced5.jpg,[],[],1.0
029bebc28ae62e.jpg,[],[],1.0
02b2badc781c19.jpg,[],[],1.0
02f874ba7e0753.jpg,[],[],1.0
0309f8b1908145.jpg,[],[],1.0
030a1ce69dd7bf.jpg,[],[],1.0
0312fecd5d3bed.jpg,[],[],1.0
032cafde8691f2.jpg,[],[],1.0
0342e59242baf5.jpg,[],[],1.0
034ac184b21410.jpg,[],[],1.0
037121ec911179.jpg,[],[],1.0
037a1289bc36e2.jpg,[],[],1.0
038acb9c7afae2.jpg,[],[],1.0
03aec35c2dbf46.jpg,[],[],1.0
03d21c1594cb5b.jpg,[],[],1.0
03ea76f472fdf7.jpg,[],[],1.0
03f0dc25a88d56.jpg,[],[],1.0
04168d85f355a9.jpg,[],[],1.0
04228adacff7a3.jpg,[],[],1.0
0428e21e169d40.jpg,[],[],1.0
04471239f51f9c.jpg,[],[],1.0
0449a55f712809.jpg,[],[],1.0
044b213c8098c2.jpg,[],[],1.0
0455f5a2212754.jpg,[],[],1.0
04c40ada457629.jpg,[],[],1.0
04c8ae8047361a.jpg,[],[],1.0
0469cff13ccd99.jpg,[],[],1.0
046df5a2ddee6f.jpg,[],[],1.0
04d73f019ef611.jpg,[],[],1.0
04e73d452a55cd.jpg,[],[],1.0
051e24cdc9c643.jpg,[],[],1.0
051e77ceaf3c2e.jpg,[],[],1.0
049f28b1e57e9a.jpg,[],[],1.0
04a3a84a6714ad.jpg,[],[],1.0
04a70e6f82b3a0.jpg,[],[],1.0
05361e40e23c95.jpg,[],[],1.0
053f0f298a473c.jpg,[],[],1.0
0545ba4d742c8e.jpg,[],[],1.0
055cfe57927e1f.jpg,[],[],1.0
0561eb666bc4f6.jpg,[],[],1.0
0563065683cfc2.jpg,[],[],1.0
05f920b7371edd.jpg,[],[],1.0
0564c1490a9c81.jpg,[],[],1.0
056b64a17382b2.jpg,[],[],1.0
0574e6a3535d35.jpg,[],[],1.0
060701738d1af6.jpg,[],[],1.0
060efd59bff77e.jpg,[],[],1.0
060f0d222db8cc.jpg,[],[],1.0
0584f5a63a8c98.jpg,[],[],1.0
05890e9489878a.jpg,[],[],1.0
058a9f8e5a7059.jpg,[],[],1.0
0614ef55d50aff.jpg,[],[],1.0
0614f020d06a14.jpg,[],[],1.0
0617ddc2e3ad30.jpg,[],[],1.0
061dcfdb8a8ff4.jpg,[],[],1.0
061edc9f67aa05.jpg,[],[],1.0
05a2fee0a73a40.jpg,[],[],1.0
062e9825a63a23.jpg,[],[],1.0
063e07d174fd0d.jpg,[],[],1.0
0663db79ff91fb.jpg,[],[],1.0
066cf57328486e.jpg,[],[],1.0
067387c87db0c5.jpg,[],[],1.0
06784fdac29144.jpg,[],[],1.0
06869c1cecf1d1.jpg,[],[],1.0
069610f886b727.jpg,[],[],1.0
070c863edf6478.jpg,[],[],1.0
071194e4a53302.jpg,[],[],1.0
06b4d569dd58e0.jpg,[],[],1.0
073aa6c063ee42.jpg,[],[],1.0
073c8a7cb56fb5.jpg,[],[],1.0
073fe5a29d1560.jpg,[],[],1.0
07dcf8f4c5d40a.jpg,[],[],1.0
07595cbbc33f9b.jpg,[],[],1.0
07e79b9e31ab9c.jpg,[],[],1.0
07ee3d4367e913.jpg,[],[],1.0
07f7c447b3681e.jpg,[],[],1.0
076f28b6d6636c.jpg,[],[],1.0
07fab76d5c8437.jpg,[],[],1.0
080161ed20d017.jpg,[],[],1.0
08024925efaf3f.jpg,[],[],1.0
08054291c8d974.jpg,[],[],1.0
0785d049c62fe3.jpg,[],[],1.0
079d63da45f3f1.jpg,[],[],1.0
081b9fe37cc3d5.jpg,[],[],1.0
0824c90901ccb4.jpg,[],[],1.0
0827deed171436.jpg,[],[],1.0
07bf67d5fc1d99.jpg,[],[],1.0
08334108f73ef4.jpg,[],[],1.0
07c68f08b71262.jpg,[],[],1.0
07c7101dfb5b23.jpg,[],[],1.0
07cfe06a1e81f4.jpg,[],[],1.0
0854f5d61305a8.jpg,[],[],1.0
08623cae2666a2.jpg,[],[],1.0
08635c02d4d25d.jpg,[],[],1.0
086c325f93584a.jpg,[],[],1.0
08f0c68861ebbe.jpg,[],[],1.0
0884e967ae87f1.jpg,[],[],1.0
090f1d7f709981.jpg,[],[],1.0
0913a2c190caa1.jpg,[],[],1.0
091f1c46ae210a.jpg,[],[],1.0
091f540e56b4f5.jpg,[],[],1.0
09375db879f77e.jpg,[],[],1.0
09497eceacf0ef.jpg,[],[],1.0
08cec66dc7b0b2.jpg,[],[],1.0
09c623ae70a56f.jpg,[],[],1.0
09e2408e4b39a4.jpg,[],[],1.0
097a0aeab361d1.jpg,[],[],1.0
09e801e9bb9604.jpg,[],[],1.0
0980319851fb00.jpg,[],[],1.0
09e8827b46d938.jpg,[],[],1.0
0981cb7dacc5ac.jpg,[],[],1.0
09fedcbad6d2b9.jpg,[],[],1.0
0a0105df3263e1.jpg,[],[],1.0
0a0476fa7bb61a.jpg,[],[],1.0
09a108c96a361f.jpg,[],[],1.0
0a1c72649542c2.jpg,[],[],1.0
0a1eaeebba9d13.jpg,[],[],1.0
09ab2262864ace.jpg,[],[],1.0
0a341d7c411f5a.jpg,[],[],1.0
0a36c83b82daf5.jpg,[],[],1.0
0a3d29c0395fa0.jpg,[],[],1.0
0a3e10000e0575.jpg,[],[],1.0
0a3e6b77be1646.jpg,[],[],1.0
0a4c547aa56491.jpg,[],[],1.0
0a4cb5f89365ee.jpg,[],[],1.0
0af14c7af54aed.jpg,[],[],1.0
0afa837b484357.jpg,[],[],1.0
0a5db1663c944d.jpg,[],[],1.0
0b17af6feaec80.jpg,[],[],1.0
0b26e5791da444.jpg,[],[],1.0
0b2f190f920d25.jpg,[],[],1.0
0b334292698fc7.jpg,[],[],1.0
0b38809fb4248b.jpg,[],[],1.0
0aa702a105517a.jpg,[],[],1.0
0aa94145a8d35d.jpg,[],[],1.0
0ab9dcb1beec28.jpg,[],[],1.0
0b67918835900b.jpg,[],[],1.0
0b711695e70954.jpg,[],[],1.0
0bef8e7438d9ca.jpg,[],[],1.0
0bf04d305c4357.jpg,[],[],1.0
0bf28a6de41b18.jpg,[],[],1.0
0bf6403ef863d9.jpg,[],[],1.0
